"taxon","KCl (500mM)","KCl (1000mM)","KCl (1500mM)","NaCl (250mM)","NaCl (500mM)","NaCl (1000mM)","4°C","16°C","30°C","40°C","Ethanol (5% v/v)","Ethanol 7% v/v","Ethanol 9% v/v","Ethanol 10% v/v","Ethanol 11% v/v","Ethanol 12% v/v","Sulfite (1,5mM)","Sulfite (2,25mM)","Sulfite (3,0mM)","Glucose (46%)","Sorbitol (46%)","Glucose (48%)","Sorbitol (48%)","Glucose (50%)","Sorbitol (50%)","Copper (0.075mM)","Cadmium (0.3mM)","Cadmium (0.4mM)","Cadmium (0.5mM)","Actidione (0,2 mg/L)","Actidione (0,4 mg/L)","Actidione (0,5 mg/L)","Acetic acid (50mM)","Acetic acid (75mM)","Acetic acid (100mM)","Levulinic acid (25mM)","Levulinic acid (50mM)","Levulinic acid (75mM)","Formic acid (25mM)","Formic acid (50mM)","Formic acid (75mM)","Glycerol (20°C)","Melibiose (20°C)","Sorbitol (20°C)","Ethanol (20°C)","Galactose (20°C)","Fructose (20°C)","Sucrose (20°C)","Maltose (20°C)","Maltose (liquid)","Maltotriose (liquid)","Glucose (10°C)","Ethanol (10°C)","Fructose (10°C)","Sucrose (10°C)","Maltose (10°C)","Glucose (39°C)","Ethanol (39°C)","Fructose (39°C)","Sucrose (39°C)","Maltose (39°C)","Lysine","Ethyl propionate","Ethyl butyrate","Ethyl hexanoate","Ethyl octanoate","Ethyl decanoate","Propyl acetate","Isobutyl acetate","Ethyl acetate","Isoamyl acetate","Phenyl ethyl acetate","Phenyl ethanol","Butanol","Isoamyl alcohol","Isobutanol","POF","Acetaldehyde","Flocculation","Ethanol production (%v/v)","Sporulation efficiency","Spore viability"
"SA005",0.231,0.123,0.515,0.382,0.438,-0.363,0.515,-0.525,-0.792,-0.148,1.824,2.266,2.906,3.01,2.614,1.367,-0.883,-0.717,-0.441,0.758,1.159,0.414,1.058,-0.036,0.03,1.049,0.529,-1.042,-0.72,-0.645,-0.382,-0.341,0.134,0.541,-0.31,0.97,0.21,0.048,0.846,0.824,-0.632,1.49,1.325,1.555,-0.6,0.741,-0.751,-0.776,-0.63,0.794,0.605,1.413,0.168,0.533,0.185,-0.242,-0.568,0.244,-0.012,0.06,0.57,0.191,-0.348,0.666,0.223,0.117,2.38,-0.929,0.205,0.456,0.111,0.987,1.45,3.698,1.059,0.468,-0.922,-0.255,-0.584,1.812,1.329,1.807
"SA006",-0.852,-0.492,-0.198,0.382,0.136,-0.363,2.767,-0.351,-0.792,0.163,0.016,0.172,0.737,0.809,0.976,0.731,-1.099,-0.717,-0.441,-0.824,-0.624,-0.61,-0.558,-0.443,-0.451,0.31,0.85,0.444,0.296,-0.645,-0.382,-0.323,-0.116,-0.113,-0.875,0.299,-0.81,-0.836,0.162,0.157,-0.632,1.473,0.835,1.844,-0.571,-0.096,-0.853,-0.87,-0.53,-1.112,-0.297,1.475,3.015,0.618,0.52,0.289,0.213,-0.411,-0.113,0.322,-0.633,0.191,0.669,0.662,0.97,0.843,4.124,-0.929,-0.302,-0.253,0.131,0.91,1.686,3.675,1.705,0.36,-0.922,0.199,-0.584,0.345,-1.223,-0.819
"SA007",-0.123,-0.081,0.818,0.882,0.511,-0.363,-0.466,-0.561,-0.951,-0.075,0.911,0.944,1.051,1.518,1.355,1.954,-0.267,-0.717,-0.441,-0.105,0.384,0.03,0.03,0.269,-0.211,-0.182,0.448,-0.447,-0.72,-0.645,-0.382,-0.341,-0.933,-0.483,-0.851,-0.012,-0.475,0.014,-0.054,0.06,-0.632,1.807,1.327,1.935,-0.42,0.954,0.223,0.102,-0.32,0.565,-1.478,0.463,1.06,1.3,1.588,0.35,-0.418,-0.463,0.455,0.299,0.73,0.191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.922,NaN,NaN,0.11,-0.196,-0.162
"SP001",-0.287,-0.052,0.431,-0.203,-0.153,0.043,1.344,-0.182,-0.787,1.04,1.824,1.547,1.186,0.535,1.036,1.446,1.448,2.652,3.222,0.087,0.461,0.286,1.058,0.065,0.27,1.679,0.408,-0.15,-0.421,0.24,-0.196,0.063,1.31,1.332,1.602,1.054,1.109,1.476,1.089,1.375,0.968,0.572,0.64,0.371,-0.178,0.861,-0.729,-0.743,-0.41,0.382,-1.478,0.488,1.586,0.421,0.408,0.976,-0.288,-0.21,0.13,-0.06,0.328,0.191,-0.529,0.022,0.01,2.124,-0.153,-0.929,0.459,-0.637,0.314,-0.092,-0.014,0.266,0.974,0.641,-0.922,-0.294,-0.584,0.979,1.111,1.807
"SP002",0.009,0.374,0.829,-0.113,0.06,0.374,-0.466,-1.215,-1.002,0.735,0.79,0.936,0.737,0.175,0.625,0.242,1.938,2.652,3.222,0.854,0.694,0.414,0.47,-0.036,0.511,1.679,0.89,-0.051,-0.242,0.476,-0.03,-0.341,0.03,1.789,1.597,1.357,1.419,0.627,1.089,1.375,-0.632,2.047,0.793,1.81,-0.38,0.916,-1.057,-1.124,-0.52,0.859,-1.478,-0.718,0.598,-0.252,-0.261,0.409,-0.275,-0.511,-0.315,-0.222,-0.134,0.191,-0.869,-1.293,-0.724,-1.666,-0.31,-0.929,-1.159,-1.477,-0.798,-0.591,-0.303,-1.719,-0.551,-0.544,-0.922,-0.324,-0.584,1.131,0.707,1.479
"SP003",-0.818,-1.159,-0.783,0.525,0.513,-0.363,-0.466,-0.912,-0.792,0.237,-0.624,-0.008,-0.292,-0.449,-0.702,-0.792,0.089,-0.717,-0.441,0.183,-0.314,-0.226,-0.558,-0.24,-0.451,-0.1,0.529,0.395,0.774,2.176,0.335,0.146,0.798,1.444,0.857,-0.024,-0.021,1.174,0.904,1.375,2.183,1.098,-0.391,1.078,-0.437,0.901,-0.998,-0.904,-0.46,0.407,0.533,-0.587,-0.395,-0.74,-0.239,-0.094,-0.087,-0.332,0.035,0.533,0.329,0.191,0.922,-1.293,-0.547,-1.536,-0.195,-0.929,0.217,0.737,-0.293,-0.18,0.832,4.238,2.711,1.346,-0.922,0.172,0.039,0.709,1.516,0.166
"SP004",-0.579,-0.492,-0.201,-0.69,-0.62,-0.363,1.172,-0.092,-0.232,1.528,-0.695,-0.395,0.01,0.626,0.252,-0.154,0.338,0.518,-0.441,2.917,1.701,4.508,2.967,6.062,4.119,1.268,-0.235,-0.101,-0.66,1.045,0.216,-0.341,-0.425,0.713,1.38,0.367,-0.101,1.262,1.034,1.145,2.642,1.837,0.929,1.448,-1.158,0.562,-0.567,-0.384,-0.99,0.738,-1.478,0.632,-0.275,0.315,0.574,-1.068,1.087,-0.209,0.902,0.732,0.26,0.191,-1.046,-1.293,-0.188,0.237,-0.249,-0.929,-0.716,-0.779,-0.394,-0.025,0.599,-0.538,-0.199,-0.277,-0.922,-0.308,-0.584,0.732,1.298,1.643
"SP005",-1.016,-1.493,-1.001,-0.885,-0.62,-0.363,1.61,-0.606,0.259,1.528,-1.274,-0.89,-0.997,-0.943,-0.91,-0.792,-1.188,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-0.374,0.408,1.138,1.312,-0.645,-0.382,-0.341,0.169,-0.695,-0.875,-1.306,-0.828,-0.836,0.614,0.585,0.771,1.167,0.678,1.011,1.021,0.954,-0.472,-0.46,0.85,-0.558,0.565,-0.067,0.48,-0.71,-0.703,0.059,0.732,-0.539,0.902,0.944,1.498,0.191,0.588,-1.293,-0.701,-1.301,-0.07,-0.929,-0.965,-0.687,-0.709,-0.497,-0.715,-2.288,-1.259,-0.771,-0.922,-0.546,-0.584,-0.125,-1.223,-0.819
"SP006",-0.633,-0.158,0.525,3.978,0.588,-0.363,-0.466,-0.048,-0.302,0.248,-0.605,-0.443,-0.052,-0.244,-0.055,-0.634,-0.108,-0.717,-0.441,1.718,1.236,1.565,0.323,0.777,0.03,0.365,0.448,0.494,0.117,0.723,-0.382,-0.341,-0.155,0.386,0.491,-0.323,0.063,-0.33,0.726,0.924,1.021,1.714,0.734,1.673,0.384,0.954,-0.854,-0.262,-0.22,0.154,-1.478,-0.691,0.149,0.402,1.431,0.62,-0.078,4.471,-1.66,0.206,0.317,0.191,-0.955,-1.293,-0.749,0.489,-0.126,-0.929,-0.898,-0.62,-0.754,-0.366,-0.233,-0.366,-0.185,-0.277,1.078,0.443,-0.584,0.427,1.423,0.002
"SP007",NaN,NaN,NaN,NaN,NaN,NaN,-0.466,-0.459,-0.372,0.726,-1.169,-1.005,-0.415,-0.215,-0.818,-0.792,0.064,0.191,-0.441,-0.824,-0.004,-0.61,-0.558,-0.443,-0.451,1.679,-0.154,0.296,0.595,0.308,-0.001,0.003,1.424,1.509,1.256,1.357,1.632,1.488,1.089,1.248,2.481,-0.507,-0.494,-0.408,0.207,-0.533,-0.745,-0.666,-0.23,-1.273,-0.768,-0.514,-0.214,0.949,0.588,0.621,0.724,0.62,0.902,0.944,0.567,0.191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.078,NaN,NaN,0.932,0.52,-0.819
"SP008",-0.764,-0.756,0.536,-0.288,-0.435,0.088,-0.466,-0.999,-0.786,1.528,-1.526,-1.204,-0.484,-0.359,-0.513,-0.113,0.535,0.41,-0.441,1.67,0.849,1.245,0.617,0.777,-0.451,-1.058,0.087,-0.051,-0.66,0.43,-0.029,-0.341,0.997,0.684,1.189,0.258,1.114,-0.806,0.294,-0.143,-0.632,0.378,1.085,-0.145,0.042,-0.22,-0.021,0.079,0.02,0.118,0.815,-0.743,-0.257,1.229,0.673,0.774,1.162,-0.242,0.902,0.944,1.498,0.191,-0.579,0.506,-0.092,0.558,-0.263,0.076,-0.736,-0.712,-0.613,-0.484,-0.59,-0.057,-0.19,-1.255,1.078,0.516,-0.584,0.967,0.458,-0.819
"SP009",-0.862,-0.593,0.439,0.246,0.336,-0.363,-0.466,-0.82,-0.891,1.251,-0.65,0.078,0.344,0.238,0.193,0.9,0.638,0.192,-0.441,1.43,0.694,1.117,0.176,0.472,-0.451,-1.058,0.97,1.039,1.133,2.916,3.396,3.356,0.522,0.379,1.297,-0.325,0.132,-0.08,-0.525,-0.6,-0.632,-0.586,-0.114,-0.224,-0.282,-0.412,0.285,0.063,-0.22,0.549,0.969,0.182,-1.007,1.177,0.525,-0.178,0.5,-0.539,0.685,0.944,1.383,0.191,0.974,1.034,0.099,0.071,-0.242,1.164,0.821,2.297,3.559,6.72,4.52,0.244,0.778,-0.203,-0.922,-0.282,-0.584,0.239,-0.756,-0.819
"SP010",0.233,0.082,0.94,-0.326,-0.482,-0.363,-0.466,-0.457,-0.242,1.528,-0.634,-0.27,0.001,0.01,0.146,1.101,-1.286,-0.717,-0.441,-0.345,-0.159,-0.61,-0.558,-0.443,-0.451,-1.058,1.533,0.741,-0.6,-0.511,-0.382,-0.341,0.492,-0.283,0.604,-0.001,0.506,-0.492,-0.731,-0.204,-0.632,0.044,0.122,0.058,0.78,0.535,0.692,0.56,0.1,0.39,0.567,-0.306,1.189,1.173,1.834,0.667,1.137,0.315,0.902,0.944,1.498,0.191,-0.442,0.395,0.019,0.018,-0.279,0.23,-0.158,-0.004,0.911,3.135,4.046,-0.106,0.808,-0.12,1.078,-0.009,0.039,0.462,-0.881,-0.661
"SP011",-0.504,-0.586,0.275,-0.34,-0.228,-0.363,-0.466,-0.69,-1.04,-0.244,-0.98,-0.99,-0.528,-0.354,-0.288,-0.047,1.788,2.267,2.575,2.005,0.771,2.333,0.911,1.895,0.751,-1.058,0.689,-0.398,-0.78,-0.082,-0.382,-0.341,0.169,0.068,-0.198,0.165,0.002,-0.836,-0.272,0.442,-0.632,0.509,0.719,0.217,-1.041,-0.623,-0.01,-0.299,-0.25,0.543,-1.478,-0.354,-0.092,0.258,0.874,-0.674,-0.257,-0.302,0.902,0.944,1.07,0.191,-0.192,1.368,0.005,0.356,-0.221,1.103,3.669,2.241,1.486,0.75,0.391,-0.02,0.872,1.416,1.078,-0.056,-0.584,0.403,-1.223,-0.819
"WI001",-0.094,0.253,0.773,-0.088,-0.058,0.129,-0.466,-0.91,-0.939,1.059,1.614,1.617,1.23,0.76,0.987,0.734,1.444,1.666,2.224,0.902,0.694,0.798,0.617,-0.138,0.751,1.679,0.569,-0.051,-0.302,0.603,-0.045,0.012,-0.573,0.496,1.035,-0.041,0.299,0.472,0.861,0.368,-0.632,0.275,-0.061,0.416,-0.425,0.777,-0.736,-0.424,-0.26,0.859,-1.478,-0.2,0.802,0.226,0.251,0.168,-0.42,-0.361,0.361,0.514,0.669,0.191,-0.654,-0.091,-0.559,-0.949,-0.11,-0.929,-1.064,-0.85,-0.48,-0.043,0.708,0.199,-0.038,-0.484,-0.922,-0.223,-0.584,0.403,0.395,1.479
"WI002",1.272,1.417,0.814,0.203,-0.62,-0.363,-0.466,-0.066,0.088,0.383,0.999,0.865,0.201,0.034,0.843,0.06,1.076,0.954,0.919,0.854,1.546,0.67,1.204,-0.036,1.954,-0.538,1.332,1.732,1.91,0.971,0.778,0.072,0.286,1.16,0.246,-0.318,-0.23,-0.836,0.612,0.365,-0.632,-0.471,-0.284,-0.278,0.075,-0.6,-0.389,-0.913,-1.22,-3.688,-1.478,-0.638,-0.273,-1.094,-0.708,-0.693,-0.246,-0.29,0.61,0.458,-0.768,0.191,-0.133,-1.293,1.89,1.583,0.15,-0.929,-0.866,-0.33,-0.317,-0.385,1.007,0.726,-0.001,-0.486,1.078,0.294,-0.584,0.885,1.703,1.807
"WI003",-0.519,-0.143,0.545,0.284,0.458,0.099,-0.009,-0.381,-0.935,0.6,1.636,1.084,1.038,0.818,1.309,1.291,1.203,1.208,1.908,0.854,0.384,0.542,0.03,0.167,-0.211,1.159,0.77,1.385,1.073,0.361,0.004,0.462,0.317,1.185,0.714,0.713,-0.251,0.923,0.816,0.531,0.432,0.223,0.003,0.164,-0.975,0.542,-0.508,-0.408,-0.65,0.14,-1.478,0.669,0.12,0.666,0.983,-0.965,-0.242,0.102,0.275,0.016,0.34,0.191,-0.273,-1.293,0.715,3.815,-0.213,0.554,0.72,0.493,1.124,0.358,-0.463,-0.407,0.071,0.038,1.078,-0.213,-0.584,1.448,0.862,1.807
"WI004",0.224,0.253,0.114,0.128,0.107,-0.363,0.438,0.065,-0.646,0.08,0.26,-0.124,-0.224,0.063,0.098,0.392,1.55,1.705,2.048,0.95,0.539,1.693,0.617,0.472,1.473,1.35,0.569,0.444,-0.003,0.073,-0.218,-0.192,0.141,1.049,0.705,-0.242,-0.086,0.534,0.555,-0.195,-0.632,0.534,-0.131,0.431,-0.904,0.334,-0.63,-0.875,-0.8,0.303,-1.478,0.732,0.988,0.617,0.421,-0.735,-0.395,-0.08,-0.019,0.065,-0.113,0.191,-1.205,-1.293,-0.554,1.127,-0.122,1.125,3.099,0.916,0.925,0.866,0.74,-0.94,-0.271,0.47,1.078,-0.475,-0.584,0.157,-1.223,NaN
"WI005",1.582,1.838,1.604,-0.15,-0.298,0.684,-0.466,0.286,0.183,0.972,1.593,0.973,1.346,1.268,1.468,1.454,1.291,1.5,2.123,1.909,1.856,1.565,1.939,0.675,2.675,1.487,0.006,-0.101,-0.66,1.586,0.837,1.006,-0.114,0.851,0.742,0.489,0.485,0.683,0.78,0.528,-0.632,0.057,-0.21,0.077,0.601,-0.737,-0.024,-0.136,-0.77,0.717,-1.478,-0.445,-0.001,-0.369,0.613,-1.068,-0.077,0.176,0.149,0.17,0.607,0.191,-0.836,0.199,-0.234,0.75,-0.232,-0.929,-0.447,-0.3,0.255,0.296,0.098,-0.338,0.203,-0.314,1.078,-0.31,-0.584,0.403,0.862,0.494
"WI006",-0.396,-0.29,0.258,0.612,0.592,0.088,-0.019,-0.522,-0.942,-1.022,1.625,0.844,0.749,0.417,0.487,0.927,0.09,-0.279,-0.381,0.95,1.004,1.245,0.03,1.692,0.27,1.077,0.368,0.642,0.475,0.079,-0.23,-0.341,-0.081,0.877,0.633,0.109,-0.101,0.06,0.079,0.344,0.865,0.107,-0.131,0.12,-0.76,-0.293,-0.265,-0.291,-0.4,-0.176,1.017,-0.353,-0.354,-0.186,0.262,-0.173,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,-0.096,-1.293,-0.655,-1.327,-0.329,-0.929,-0.457,-0.888,-0.712,-0.273,-0.113,-0.534,-0.324,0.112,1.078,-0.332,-0.584,-0.125,1.267,1.479
"WI007",1.164,0.923,0.768,-0.422,-0.62,-0.363,-0.466,-0.016,-0.036,0.703,0.962,1.003,1.628,1.763,2.316,2.582,1.85,1.975,2.425,2.293,2.244,2.397,2.82,1.997,3.638,1.268,0.649,0.791,0.296,0.916,-0.028,-0.341,0.11,1.025,0.533,0.785,0.795,0.655,0.736,0.827,0.504,0.219,-0.398,0.318,0.123,-1.554,-0.17,0.321,-1.07,0.859,-1.478,-0.736,-0.298,-0.73,0.768,-1.068,-0.258,-0.189,0.89,0.944,0.789,0.191,0.607,-1.293,0.008,0.239,0.095,-0.929,-0.639,-0.068,-0.81,-0.229,1.626,0.178,-0.883,-0.342,-0.922,-0.243,-0.584,1.495,0.831,-0.32
"WI008",-0.788,-0.76,-0.113,0.328,0.033,-0.363,-0.466,-0.276,-0.979,0.336,1.727,1.384,1.302,0.462,0.501,0.675,-0.03,-0.049,-0.004,0.183,0.384,0.478,-0.117,0.065,0.27,0.912,-0.677,-0.596,-0.72,-0.559,-0.382,-0.341,-0.008,0.933,0.872,0.784,0.318,1.362,0.832,0.249,-0.632,-0.545,-0.489,-0.417,-0.453,-0.007,-0.616,-0.525,-0.36,0.37,0.446,0.631,1.242,0.398,-0.163,0.329,-0.122,0.916,0.572,0.199,0.675,0.191,-0.343,-1.293,0.741,0.442,-0.237,2.636,2.732,1.908,1.813,0.318,-0.379,0.43,0.339,0.454,1.078,-0.397,-0.584,0.075,-0.85,-0.819
"WI009",-0.09,0.087,0.604,0.358,0.257,0.076,-0.466,-0.245,-0.794,0.552,1.766,1.644,1.529,0.934,0.952,0.752,1.938,2.652,3.222,0.998,0.461,0.989,0.911,0.777,1.473,1.679,0.488,-0.249,-0.421,0.198,-0.135,0.047,0.057,0.899,0.655,0.707,0.301,0.577,0.919,1.107,1.484,0.645,0.468,0.213,-0.217,0.544,-0.252,-0.599,-0.43,0.859,-1.478,0.264,1.203,0.653,0.412,0.663,-0.607,-0.539,0.097,-0.148,0.435,0.191,-0.532,-1.293,-0.196,0.103,-0.261,0.306,0.991,0.299,1.466,0.671,0.095,0.733,1.198,0.4,-0.922,-0.523,-0.584,0.932,0.987,1.649
"WI010",1.573,1.466,1.037,-0.567,-0.249,-0.363,-0.466,-0.576,0.727,1.469,1.508,1.205,2.784,2.794,3.045,3.374,1.728,2.476,3.103,3.204,3.097,3.42,3.848,2.505,4.119,1.679,0.729,1.187,1.432,1.194,0.254,-0.341,-1.024,0.359,-0.1,1.357,-0.045,1.512,1.089,1.375,-0.205,0.052,0.091,0.141,1.04,-1.765,0.615,1.021,-0.67,0.359,-1.478,-0.703,-0.427,-0.702,0.761,-1.068,-0.354,0.05,0.902,0.944,0.872,0.191,0.24,0.546,0.691,2.087,-0.215,-0.929,-0.332,0.347,-0.294,-0.362,-0.423,0.084,-0.433,-0.307,1.078,-0.342,-0.584,1.589,0.769,-0.478
"WI011",-0.255,0.107,0.413,0.755,0.248,0.152,-0.466,-0.818,-0.919,1.237,1.694,0.628,0.808,0.735,0.544,1.109,1.816,2.652,3.222,0.279,0.771,0.989,0.911,1.183,0.511,1.46,0.569,0.89,-0.302,-0.274,-0.084,-0.108,0.221,0.79,0.498,1.146,0.777,1.06,1.089,1.343,-0.632,0.299,-0.136,0.445,-1.225,-0.212,-0.148,-0.647,-0.95,0.117,-0.553,0.135,-0.773,0.849,0.14,-1.068,-0.485,-0.433,0.554,0.601,0.267,0.191,0.335,0.477,-0.064,0.863,-0.273,-0.929,-0.096,0.204,0.5,0.183,-0.045,0.24,0.134,-0.218,1.078,-0.311,-0.584,1.084,1.174,1.807
"WI012",0.971,0.527,-0.565,-0.649,-0.62,-0.363,-0.466,-0.595,-0.014,-1.022,0.94,0.443,-0.91,-0.75,-0.91,-0.792,0.397,0.662,-0.369,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-0.374,-1.119,-0.794,-0.481,-0.645,-0.382,-0.341,0.179,-0.445,-0.875,0.315,0.199,-0.231,0.447,0.664,-0.632,-0.724,-0.957,0.078,1.379,0.419,0.518,1.239,1.14,0.859,1.017,-0.514,1.305,0.15,2.226,0.642,-0.306,-0.539,0.818,0.715,-1.105,0.191,0.285,0.095,-0.697,-0.798,-0.355,0.231,0.369,-0.339,-0.182,-0.585,-0.736,-0.541,-0.474,0.16,-0.922,-0.273,0.662,-1.134,0.053,-0.819
"WI013",0.786,0.88,1.159,-0.561,-0.424,-0.111,-0.466,-0.167,0.716,1.528,0.184,0.34,1.265,1.543,1.854,2.233,1.383,1.77,2.221,2.821,2.787,2.653,3.113,2.098,2.194,1.35,0.609,0.692,0.595,1.405,0.269,-0.341,0.003,0.189,0.275,0.592,0.911,0.475,0.664,0.819,0.079,0.964,0.203,0.829,0.898,-1.767,0.975,0.901,-0.74,0.287,-1.478,-1.084,0.03,-0.54,1.475,-1.068,0.388,0.106,0.902,0.944,1.498,0.191,0.43,0.791,0.361,1.157,-0.223,-0.929,-0.13,0.55,-0.333,-0.422,-0.63,-0.385,-0.751,-0.25,1.078,-0.337,-0.584,1.483,1.485,-0.162
"WI014",-0.607,-0.469,-1.51,-0.242,-0.278,-0.363,-0.466,0.467,0.455,-1.022,1.824,2.514,3.291,3.983,4.252,4.384,1.65,2.626,3.129,0.758,0.616,0.158,0.911,-0.24,0.992,-0.757,-0.195,-0.992,-0.78,-0.645,-0.382,-0.341,-0.172,-0.957,-0.875,0.437,0.639,-0.836,0.468,0.497,-0.587,-1.649,-1.517,-1.471,-1.954,-3.114,-1.693,-0.714,-1.63,-3.688,-1.478,-0.655,-1.007,-1.469,-1.752,-1.068,-1.307,-0.539,-1.66,-1.537,-1.105,-4.007,0.064,-0.241,-0.108,-0.148,-0.321,-0.929,-1.208,-0.1,-0.986,-1.085,-1.001,-0.218,-1.67,-0.795,-0.922,-0.281,-0.584,0.979,0.925,-0.655
"WI015",0.484,0.757,1.235,0.501,0.128,-0.363,1.005,-0.171,-0.814,1.169,0.581,0.085,0.053,0.358,0.544,0.793,0.409,0.443,-0.441,2.005,1.159,2.397,1.204,3.013,1.473,0.31,0.488,1.435,1.013,0.291,-0.078,-0.068,-0.29,0.522,0.12,0.18,-0.238,0.343,0.359,0.219,-0.632,0.198,0.016,0.14,-1.031,-0.055,-0.421,-0.501,-0.59,0.401,-1.478,0.802,-0.388,0.155,-0.01,-1.068,-0.013,0.247,0.571,0.474,0.77,0.191,0.351,-1.293,-0.175,1.465,-0.167,-0.929,-0.28,-0.144,-0.223,-0.382,0.01,0.219,0.107,0.174,1.078,-0.475,-0.584,0.145,1.08,-0.327
"WI016",-0.656,-0.445,-0.062,0.704,0.896,0.489,2.723,-0.105,-0.738,0.885,1.142,0.81,1.32,0.495,0.944,1.655,0.879,1.232,1.003,1.286,0.771,1.949,1.058,3.013,1.473,0.529,0.569,0.543,0.416,-0.209,-0.382,-0.341,0.174,1.065,1.68,0.756,0.231,0.955,0.265,0.947,1.715,0.484,0.343,0.425,-0.669,0.655,-0.67,-0.399,-1.19,-3.688,-1.478,0.703,0.017,0.874,0.901,-0.847,0.43,0.33,0.902,0.437,0.407,0.191,-1.052,-1.293,0.323,-0.218,-0.341,-0.929,-0.746,-0.741,-0.493,-0.378,-0.489,-0.693,-0.466,-0.13,1.078,-0.385,-0.584,0.826,1.08,0.986
"WI017",0.132,0.253,0.307,1.314,0.892,3.323,-0.466,-1.775,-1.702,0.904,0.541,-0.239,-0.16,0.045,-0.195,0.053,0.085,0.285,-0.441,0.758,0.694,0.861,0.764,0.777,-0.211,1.131,0.448,0.989,0.715,0.305,-0.048,-0.07,-0.147,0.805,0.771,0.867,-0.359,0.912,1.089,0.913,-0.632,1.097,0.055,1.345,-1.411,-0.228,-1.205,-1.045,-1.15,-0.004,-1.478,-0.593,-1.007,-0.932,-0.108,-1.068,-0.237,0.544,0.749,0.02,0.58,0.191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.078,NaN,NaN,1.46,1.205,-0.162
"WI018",NaN,NaN,NaN,NaN,NaN,NaN,-0.466,-1.852,-1.352,1.519,1.662,1.026,2.973,2.735,2.58,2.818,1.481,2.634,2.69,2.485,2.787,2.972,4.582,2.81,4.119,0.721,0.247,-0.15,-0.541,1.407,1.677,0.083,-0.004,0.638,0.783,0.798,0.716,1.303,0.699,1.132,2.253,1.216,0.413,1.272,0.138,-1.888,-0.76,-0.598,-0.71,0.22,-1.478,-0.919,0.716,-1.064,-0.243,-1.068,-0.345,1.324,0.902,0.793,0.857,0.191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.078,NaN,NaN,1.507,1.454,-0.162
"WI019",-0.28,-0.235,-0.75,0.716,1.13,1.874,-0.466,-0.331,-1.347,-0.923,-0.561,-0.09,0.357,0.584,0.339,0.907,-0.31,-0.717,-0.441,0.327,0.306,0.03,-0.411,-0.443,-0.451,-1.058,1.131,-1.042,-0.78,-0.522,-0.382,-0.341,0.207,-0.056,-0.579,-0.071,-0.853,-0.836,-0.278,0.011,-0.632,0.055,1.032,0.029,-1.061,-2.156,0.035,-0.06,-0.66,0.108,0.433,1.879,-0.212,1.192,1.091,0.529,-0.668,-0.539,-0.52,-0.289,-0.394,0.191,-0.215,3.676,-0.535,-0.199,-0.377,3.342,3.093,3.071,2.935,3.141,0.424,0.353,1.107,-1.255,-0.922,-0.135,-0.584,-0.841,-0.103,-0.819
"WL001",1.395,1.312,1.656,-0.708,-0.62,-0.363,-0.466,0.888,0.542,1.528,0.614,-0.078,0.001,-0.151,0.197,0.983,1.202,1.16,0.811,-0.009,0.073,-0.418,-0.558,-0.24,-0.451,-0.593,-0.154,0.494,1.253,1.286,0.385,0.206,1.375,1.645,1.315,0.093,1.175,1.996,1.089,1.375,3.063,0.819,0.255,0.973,1.115,0.954,-0.405,-0.953,-0.97,-3.688,-1.478,-0.674,0.429,-0.891,-1.203,-1.068,1.879,3.059,0.902,0.944,1.498,0.191,0.174,0.652,2.895,2.042,-0.519,-0.929,-0.694,-0.931,-0.478,-0.3,-0.881,0.252,0.153,-0.321,1.078,-0.417,-0.584,0.61,1.267,0.166
"WL002",-0.376,-0.371,-0.051,-0.743,-0.62,-0.363,-0.466,0.499,0.24,1.528,-1.079,-0.772,-0.193,-0.299,0.047,0.021,0.847,0.803,-0.257,0.662,0.616,0.861,0.911,0.98,0.511,0.174,0.77,2.128,3.165,0.507,-0.382,-0.341,1.33,1.444,0.06,1.21,2.119,2.883,1.049,1.375,1.436,0.311,-0.042,0.134,0.248,-1.671,-0.204,0.441,-0.72,0.859,-0.119,-0.795,-0.001,-1.469,-1.264,-0.553,0.474,-0.198,0.902,0.944,1.014,0.191,1.176,1.305,3.801,1.525,-0.519,-0.929,-0.492,-0.508,-0.346,-0.429,-1.139,0.288,-0.213,-0.054,1.078,-0.43,-0.584,0.255,1.485,1.807
