"taxon","KCl (500mM)","KCl (1000mM)","KCl (1500mM)","NaCl (250mM)","NaCl (500mM)","NaCl (1000mM)","4°C","16°C","30°C","40°C","Ethanol (5% v/v)","Ethanol 7% v/v","Ethanol 9% v/v","Ethanol 10% v/v","Ethanol 11% v/v","Ethanol 12% v/v","Sulfite (1,5mM)","Sulfite (2,25mM)","Sulfite (3,0mM)","Glucose (46%)","Sorbitol (46%)","Glucose (48%)","Sorbitol (48%)","Glucose (50%)","Sorbitol (50%)","Copper (0.075mM)","Cadmium (0.3mM)","Cadmium (0.4mM)","Cadmium (0.5mM)","Actidione (0,2 mg/L)","Actidione (0,4 mg/L)","Actidione (0,5 mg/L)","Acetic acid (50mM)","Acetic acid (75mM)","Acetic acid (100mM)","Levulinic acid (25mM)","Levulinic acid (50mM)","Levulinic acid (75mM)","Formic acid (25mM)","Formic acid (50mM)","Formic acid (75mM)","Glycerol (20°C)","Melibiose (20°C)","Sorbitol (20°C)","Ethanol (20°C)","Galactose (20°C)","Fructose (20°C)","Sucrose (20°C)","Maltose (20°C)","Maltose (liquid)","Maltotriose (liquid)","Glucose (10°C)","Ethanol (10°C)","Fructose (10°C)","Sucrose (10°C)","Maltose (10°C)","Glucose (39°C)","Ethanol (39°C)","Fructose (39°C)","Sucrose (39°C)","Maltose (39°C)","Lysine","Ethyl propionate","Ethyl butyrate","Ethyl hexanoate","Ethyl octanoate","Ethyl decanoate","Propyl acetate","Isobutyl acetate","Ethyl acetate","Isoamyl acetate","Phenyl ethyl acetate","Phenyl ethanol","Butanol","Isoamyl alcohol","Isobutanol","POF","Acetaldehyde","Flocculation","Ethanol production (%v/v)","Sporulation efficiency","Spore viability"
"BE098",0.514,0.571,-1.51,-0.885,-0.62,-0.363,-0.466,0.365,0.842,-1.022,0.165,-0.492,-1.009,-0.847,-0.788,-0.66,-1.22,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-0.839,-1.761,-1.091,-0.78,-0.645,-0.382,-0.341,-2.644,-1.169,-0.875,0.313,-0.795,-0.836,-0.679,0.769,-0.299,-1.649,-0.463,-1.471,-0.494,0.275,-0.626,-1.503,-0.12,-0.837,0.086,-0.905,-1.007,-1.06,-1.1,-1.068,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,1.011,0.917,-0.646,0.03,-0.383,0.269,0.034,0.023,-0.162,-0.325,0.142,-0.122,0.276,-1.072,-0.922,-0.307,0.662,-0.512,-1.223,-0.819
"BE099",NaN,NaN,NaN,NaN,NaN,NaN,-0.466,2.615,2.71,-0.612,0.236,-0.04,-0.745,-0.943,-0.91,-0.792,-1.167,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,0.247,-0.646,-0.242,-0.645,-0.382,-0.341,-2.584,-1.164,-0.875,0.676,0.582,-0.836,-0.249,-0.168,-0.632,-1.649,0.044,-1.471,0.318,0.694,-0.714,0.056,0.19,0.021,0.607,0.368,0.344,-0.779,-1.096,-0.376,1.879,-0.539,0.83,0.944,-0.522,0.191,0.34,0.599,-0.78,-0.316,-0.401,0.336,-0.016,-0.403,-0.724,-0.634,-0.662,0.264,-0.498,-1.053,-0.922,-0.055,2.531,-0.16,0.644,-0.819
"BE100",NaN,NaN,NaN,NaN,NaN,NaN,-0.466,1.958,2.78,-1.022,1.824,2.198,1.289,0.736,-0.642,-0.504,0.431,-0.624,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,-1.641,-0.794,-0.6,-0.645,-0.382,-0.341,-2.811,-1.237,-0.875,-2.182,-1.551,-0.836,-2.206,-1.537,-0.632,-1.649,0.044,-1.471,-0.391,0.694,-0.724,-0.022,0.09,0.456,0.308,0.362,0.075,-0.943,0.948,1.93,1.879,-0.539,0.902,0.944,-0.77,0.191,-0.308,0.915,-0.734,-0.115,-0.378,0.563,0.266,0.566,0.675,-0.329,-0.817,0.072,0.705,-0.893,-0.922,-0.375,0.662,-1.111,-1.223,-0.819
"BE101",-1.453,-1.56,-1.364,1.449,1.42,0.128,-0.466,1.09,0.922,-0.92,-0.465,0.04,-1.081,-0.943,-0.91,-0.792,-0.435,-0.65,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,0.31,-1.48,-0.893,-0.78,-0.645,-0.382,-0.341,-0.066,-0.136,-0.875,1.106,0.932,-0.836,-0.155,-0.814,-0.632,0.076,0.655,0.171,0.204,0.649,1.008,-1.891,0.88,0.278,0.133,1.696,-0.053,-0.982,-1.184,-0.338,0.955,-0.539,-0.126,-0.614,-0.879,0.191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.922,NaN,1.285,-1.111,-0.694,-0.819
"BE102",-0.633,-0.759,-1.219,-0.69,-0.62,-0.363,5.355,1.367,1.449,0.699,1.202,1.091,0.579,0.619,-0.189,-0.502,0.558,-0.677,-0.441,-0.345,-0.004,-0.61,-0.558,-0.443,-0.451,0.995,-0.717,-0.299,-0.66,0.419,2.376,2.888,0.98,0.776,1.04,0.654,1.593,0.968,0.806,-0.203,-0.632,-0.987,-0.679,-0.7,-0.738,0.023,-1.004,-0.799,-0.52,-0.147,0.218,3.236,1.289,0.241,-0.164,0.935,1.416,1.211,0.902,-0.535,1.159,0.191,-0.826,0.956,0.968,0.945,0.322,0.839,1.034,0.703,1.056,0.923,0.818,0.342,0.518,2.223,-0.922,-0.569,-0.584,0.298,0.489,1.15
"BI001",-0.251,-0.158,-0.056,1.558,1.077,2.791,-0.466,-0.742,-0.652,1.528,0.27,0.409,0.733,0.807,0.504,-0.386,0.906,1.641,0.835,0.039,0.616,-0.354,0.323,-0.443,-0.451,1.159,0.77,-0.051,0.177,2.258,3.571,4.241,1.147,1.384,0.104,0.91,0.856,1.534,0.438,1.111,1.225,1.713,1.665,1.765,-0.752,-0.62,-0.558,-0.648,-0.54,0.173,-1.478,0.133,-0.541,1.166,0.85,0.952,1.486,3.513,0.902,0.944,1.498,4.389,-1.353,0.159,0.177,-0.269,-0.269,-0.929,0.806,-0.459,-0.045,0.285,0.016,-0.729,-0.573,0.173,1.078,-0.542,-0.584,1.706,1.454,1.807
"BI002",0.005,0.195,0.632,0.11,-0.62,-0.363,2.149,-0.554,-0.722,0.871,-0.228,0.142,-0.084,-0.035,-0.531,-0.792,1.044,1.125,-0.293,1.909,1.314,2.269,2.232,2.708,3.397,1.679,1.011,1.732,1.193,-0.533,-0.382,-0.341,0.266,0.107,0.539,-0.099,-0.266,-0.091,0.574,0.459,-0.632,1.507,2.284,1.639,-0.152,0.655,-0.937,-0.507,-0.52,0.538,-1.478,1.37,1.509,1.079,1.277,1.443,0.062,0.505,-0.264,0.903,0.039,0.191,-1.321,-1.293,0.291,0.025,-0.299,-0.929,-0.728,-0.986,0.112,-0.29,-0.447,-0.479,-0.083,-0.356,1.078,-0.413,-0.584,-0.137,1.516,1.807
"BI003",0.005,0.195,0.632,0.382,0.845,0.175,0.741,-0.68,-0.722,1.528,0.244,0.433,1.089,1.617,1.816,1.866,0.203,0.364,-0.39,0.806,1.159,0.734,1.645,-0.138,0.992,-0.155,0.77,-0.299,-0.003,2.464,4.855,4.935,0.278,0.729,0.91,0.434,0.62,1.714,0.209,0.7,0.949,1.674,2.403,1.843,-1.32,0.615,-0.967,-0.64,-0.73,0.506,-1.478,0.979,-0.586,0.476,0.667,0.234,1.879,1.391,0.902,0.944,1.498,0.191,-0.527,-1.293,0.22,0.157,-0.25,-0.929,0.047,-0.523,-0.594,-0.198,-0.372,-0.536,-0.734,0.111,1.078,-0.523,-0.584,2.023,1.423,1.807
"BI004",0.46,-0.291,-0.129,0.282,0.589,-0.363,4.216,-0.182,-0.232,1.528,0.216,0.373,1.007,1.434,1.407,1.412,0.364,0.737,-0.146,1.382,2.012,0.606,2.232,0.269,0.03,0.31,1.453,0.395,0.535,2.326,4.441,5.231,0.651,0.183,1.336,1.157,0.722,1.182,-0.383,0.951,0.635,2.182,2.674,2.072,-1.04,0.824,-0.773,-0.828,-0.47,0.446,-1.478,1.495,-0.592,1.032,0.768,1.534,1.879,2.006,0.902,0.944,1.498,0.191,-1.085,0.371,0.466,0.386,-0.29,-0.929,0.203,-0.743,-0.511,-0.186,-0.484,-0.696,-0.783,0.082,1.078,-0.514,-0.584,1.765,0.893,1.807
"BI005",-0.907,-1.226,-0.928,-0.496,-0.62,-0.363,1.126,0.161,0.329,0.953,-1.114,-0.889,-0.545,-0.401,-0.91,-0.792,0.816,1.701,1.336,2.149,1.546,3.036,2.967,4.334,2.194,1.679,1.453,2.574,2.926,-0.118,-0.382,-0.341,-0.533,-0.6,1.246,-0.9,-1.551,-0.836,1.089,1.375,1.66,1.746,2.891,1.466,0.155,0.954,-0.236,0.203,-0.33,-0.705,-1.478,2.247,-0.096,1.694,2.197,1.937,0.442,-0.308,0.32,0.334,0.176,0.191,-1.323,-1.293,0.363,0.572,-0.292,-0.929,-1.316,-1.512,-0.837,-0.519,-0.371,-0.438,0.216,-0.304,1.078,0.208,-0.584,1.096,0.676,1.807
